,ingr_name
Соль,440
Куриное яйцо,301
Пшеничная мука,272
Сливочное масло,260
Молотый черный перец,244
Сахар,237
Чеснок,194
Репчатый лук,190
Оливковое масло,160
Растительное масло,142
Молоко,115
Морковь,96
Помидоры,91
Петрушка,88
Картофель,86
Сметана,71
Лимон,66
Разрыхлитель,65
Вода,49
Куриное филе,48
Сода,45
Зелень,43
Майонез,43
Красный лук,42
Сыр,40
Лавровый лист,38
Соевый соус,36
Томатная паста ,36
Кинза,32
Сладкий перец,31
Зеленый лук,31
Яблоко,31
Укроп,31
Куриный бульон,30
Корица,29
Ванилин,28
Лимонный сок,27
Яичный желток,26
Мед,26
Огурцы,23
Сливки,23
Шампиньоны,23
Тимьян,23
Творог,23
Куриная грудка,22
Молотая корица,22
Помидоры черри,21
Баклажаны,21
Морская соль,21
Сухие дрожжи,21
Сахарная пудра,20
Мускатный орех,20
Лук,20
Белое сухое вино,20
Рис,19
Подсолнечное масло,19
Ванильный сахар,19
Бананы,19
Красный сладкий перец,18
Белый хлеб,18
Сливки 20%-ные,18
Твердый сыр,18
Тертый сыр пармезан ,17
Стебель сельдерея,17
Тыква,17
Перец чили,17
Сыр пармезан,17
Манная крупа,16
Лук-порей,16
Сливки 35%-ные,16
Рубленая петрушка,16
Базилик,16
Черный перец горошком,15
Говядина,15
Имбирь,15
Изюм,15
Капуста брокколи,14
Свежемолотый черный перец,14
Кабачки,14
Кефир,14
Спагетти,13
Цукини,13
Какао,13
Свекла,12
Ванильный экстракт,12
Какао-порошок,12
Панировочные сухари,12
Белый винный уксус,12
Коричневый сахар,12
Тростниковый сахар,12
Бальзамический уксус,12
Апельсины,12
Белокочанная капуста,12
Оливковое масло extra virgin,12
Курица,12
Грецкие орехи,11
Крупная соль,11
Ваниль,11
Уксус,11
Креветки,11
Шафран,10
Специи,10
Свинина,10
Сливки 33%-ные,10
Авокадо,10
Дижонская горчица,10
Сливки 10%-ные,10
Бекон,10
Цветная капуста,10
Сельдерей,9
Яичный белок,9
Молотый кориандр ,9
Консервированная кукуруза,9
Маргарин,9
Темный шоколад,9
Кумин (зира),9
Паприка,9
Овощной бульон,9
Корень имбиря,9
Свежая кинза (кориандр),9
Свежая мята,9
Кетчуп,8
Сыр моцарелла,8
Орегано,8
Молотый белый перец,8
Говяжий бульон,8
Кунжутное масло,8
Сметана 20%-ная,8
Кедровые орехи,8
Ветчина,8
Лимонная цедра,8
Сливочный сыр,8
Молотый кумин (зира) ,8
Сгущенное молоко,8
Гвоздика,8
Рукола,8
Соленые огурцы,8
Шоколад,8
Сушеный орегано,8
Свежие шампиньоны,8
Сыр сулугуни,7
Сушеный базилик,7
Сыр маскарпоне,7
Зеленый салат,7
Томатное пюре,7
Редис,7
Гашеная сода,7
Кайенский перец,7
Лайм,7
Сливки 30%-ные,7
Французский багет,7
Топленое масло,7
Свежие грибы,7
Мясной фарш,7
Натуральный йогурт,7
Кунжутные семечки,7
Сливки 25%-ные,7
Говяжий фарш,7
Розмарин,7
Овсяные хлопья,7
Шпинат,7
Молотый мускатный орех,7
Каперсы,6
Красное сухое вино,6
Армянский лаваш,6
Миндаль,6
Красный перец чили,6
Сыр чеддер,6
Сыр фета,6
Куриная печень,6
Консервированный ананас,6
Зеленая стручковая фасоль,6
Желатин,6
Консервированные помидоры,6
Корень сельдерея,6
Молодые кабачки,6
Яблочный уксус,6
Фарш,6
Коричневый мягкий сахар,5
"Молоко 3,2%-ное",5
Анис (бадьян),5
Тортильи,5
Куркума,5
Паста феттучини,5
Зеленый горошек,5
Прованские травы,5
Лимонная трава,5
Молотый перец чили,5
Зеленый перец,5
Нут,5
Желтый сладкий перец,5
Говяжья вырезка,5
Мягкий творог,5
Маслины,5
Сухарики,5
Гречневая крупа,5
Имеретинский сыр,5
Белый лук,5
Тертый имбирь,5
Сыр горгонзола,5
Филе куриной грудки,5
Консервированный тунец в масле,5
Свежий красный перец,5
Оливки,5
Вустерширский соус,5
Сыр грюйер,5
Лук-шалот,5
Консервированный зеленый горошек,5
Слоеное тесто,5
Мелко рубленный чеснок,5
Перловая крупа,5
Зеленый сладкий перец,5
Плавленый сыр,5
Зеленый базилик ,5
Ванильный стручок,5
Салат айсберг,5
Молотая паприка,4
Смесь салатных листьев,4
Бренди,4
Орехи,4
Консервированный тунец в собственном соку,4
Кунжут,4
Крабовые палочки,4
Консервированная фасоль,4
Горький шоколад,4
Печенье савоярди,4
Груши,4
Кокосовое молоко,4
Салат романо,4
Хмели-сунели,4
Куриные сердца,4
Рыбный соус,4
Черный шоколад 70%-ный,4
Мясо,4
Козий сыр,4
Рис арборио,4
Оливковое масло IDEAL,4
Свиной фарш,4
Рисовый уксус,4
Красная чечевица,4
Мята,4
Карри,4
Помидоры пелати,4
Горчица,4
Семена кориандра,4
Пекарский порошок ,4
Эстрагон,4
Семга,4
Маслины без косточек,4
Красный стручковый перец,4
Сыр эмменталь,4
Телятина,3
Мягкий обезжиренный творог,3
Лисички,3
Зерна граната,3
Помидоры в собственном соку,3
Рафинированное масло,3
Свиная шея,3
Майоран,3
Куриный фарш,3
Паста тальятелле,3
Зеленый лук перья,3
Перепелиное яйцо,3
Молотый кардамон,3
Слабосоленая семга,3
Молотый красный перец,3
Тигровые креветки,3
Рубленая кинза (кориандр),3
Тертый шоколад,3
Клубника,3
Дрожжевое слоеное тесто,3
Толченые грецкие орехи,3
Сибас,3
Говяжья печень,3
Анчоусы,3
Длиннозерный рис,3
Зеленые яблоки,3
Батон,3
Белые грибы,3
Очищенные креветки,3
Филе лосося,3
Винный уксус,3
Шалфей,3
Сок лайма,3
Молотый сушеный чеснок,3
Филе индейки,3
Печенье «Юбилейное»,3
Томатный соус,3
Куриное яйцо (крупное),3
Сосиски,3
Вишня,3
Очищенные грецкие орехи,3
Российский сыр,3
Цветочный мед,3
Молотый имбирь,3
Готовые сухие листы лазаньи,3
Белый шоколад,3
Творожный сыр,3
Макароны,3
Варенье,3
Томатный сок,3
Смесь итальянских трав,3
Красная консервированная фасоль,3
Листья базилика,3
Чечевица,3
Листья петрушки,3
Щавель,3
Сыр брынза,3
Круглый рис,3
Перец чили хлопьями,3
Свежие дрожжи,3
Вешенки,3
Свиная вырезка,3
Говяжья грудинка,3
Сметана 35%-ная,3
Горчичный порошок,2
Хлеб для тостов,2
Голубика,2
Зеленые фисташки,2
Кукурузная мука,2
Сливы,2
Измельченный свежий тимьян,2
Сыр конте,2
Черника,2
Пшено,2
Смесь перцев,2
Панировочные сухари панко,2
Булгур,2
Молодой картофель,2
Лосось,2
Рубленный стебель сельдерея ,2
Сметана 10%-ная,2
Ванильная эссенция,2
Красный винный уксус,2
Тунец,2
Рис басмати,2
Очищенные семена тыквы,2
Стручковая фасоль,2
Йогурт,2
Свежемороженая брусника,2
Сухой творог,2
Коктейль из морепродуктов,2
Свежесваренный кофе,2
Букет гарни,2
Гречневая лапша ,2
Маринованные огурцы,2
Куриные ножки,2
Тертый сыр,2
Семечки подсолнуха,2
Салат корн,2
Тмин,2
Хлебные крошки,2
Чернослив без косточек,2
Плавленый сырок,2
Листья кинзы (кориандра),2
Красная фасоль,2
Кускус,2
Вяленые помидоры,2
Легкий соевый соус,2
Грибы шиитаке,2
Свежие ягоды,2
Сливки 38%-ные,2
Коньяк,2
Чернослив,2
Баранина,2
Лед,2
 Стручковый зеленый горошек ,2
Свежий желтый перец,2
Вареное сгущенное молоко,2
Батат,2
Крахмал,2
Специи для плова,2
Жасминовый рис,2
Песочное тесто,2
Белый мелкий сахар,2
Измельченные помидоры в собственном соку ,2
Круассан,2
Темное пиво,2
Савойская капуста,2
Сыр рикотта,2
Кленовый сироп,2
Творог 9%-ный,2
Куриные бедра,2
Галангал,2
Кокосовая стружка,2
Пошехонский сыр,2
Сушеный эстрагон,2
Сушеные белые грибы,2
Листья лайма,2
Кипяток,2
Филе трески,2
Перечная паста том-ям,2
Листья шалфея,2
Корень петрушки,2
Сушеный красный перец,2
Курага,2
Пита,2
Сельдь,2
Вареная колбаса,2
Абрикосовый джем,2
Красные помидоры черри ,2
Кардамон,2
Малина,2
Ликер «Амаретто»,2
Рисовый уксус для суши,2
Палочки корицы,2
Куриные окорочка,2
Душистый перец горошком,2
Зеленый лук с луковицей,2
Индейка,2
Консервированные помидоры кусочками,2
Краснокочанная капуста,2
Салями,2
Королевские креветки,2
Морковь по-корейски,2
Сметана 30%-ная,2
Микс Тоскана «Белая Дача»,2
Смешанный фарш,2
Бальзамический крем,2
Баранья лопатка,2
Рис девзира,2
Тесто для пельменей,2
Аджика,2
Лапша рамен,2
Херес,2
Сливочный ликер,1
Китайская капуста,1
Телячий фарш,1
Гречишный мед,1
Паста каннеллони,1
Греческий йогурт,1
Киви,1
Острая паприка,1
Рассыпчатый творог,1
Паста ореккьетте,1
Говяжья лопатка,1
Огузок говяжий,1
Молотый тмин,1
Сливки 40%-ные,1
Малина замороженная ,1
Дезодорированное рафинированное растительное масло,1
Красный пищевой краситель,1
Фундук,1
Вареный жасминовый рис,1
Сушеный барбарис,1
Листья эстрагона,1
Кальмары,1
Телячьи отбивные,1
Легкий майонез,1
Сыр филадельфия,1
Желатин в пластинах,1
Свежий перец чили,1
Салатный лук,1
Белое полусухое вино,1
Жирная сметана,1
Кондитерские украшения,1
Сухая аджика,1
Чиабатта,1
Свекольная ботва,1
Кислое молоко,1
Саке,1
Консервированные шампиньоны,1
Мороженое,1
Репа,1
Сладкая паприка,1
Зернистая горчица,1
Форель,1
Говяжья шейка,1
Бисквитная основа для торта шоколадная,1
Замороженный шпинат,1
Белые кунжутные семечки ,1
Чабер,1
Эспрессо,1
Листья кафрского лайма,1
Приправы,1
Цедра апельсина,1
Голень индейки,1
Спрайт,1
Свиной окорок,1
Кольраби,1
Мидии,1
Светлый соевый соус,1
Несоленые фисташки,1
Тофу,1
Филе семги,1
Консервированные персики,1
Свиная грудинка,1
Масло для фритюра,1
Рисовое вино,1
Мисо-паста,1
Картофельный крахмал,1
Зеленый ткемали,1
Ростки сои,1
Овсяная крупа,1
Соус «1000 островов»,1
Сумах,1
Прошутто,1
Молодая капуста,1
Красный виноград,1
Телячья вырезка,1
Копченая форель,1
Копченая паприка,1
Сушеная мята,1
Брюссельская капуста,1
Горох маш,1
Хлебный квас,1
Китайские груши,1
Пахта,1
Белая консервированная фасоль,1
Зеленая паста карри ,1
Кешью,1
Говяжье сердце,1
Зефир,1
Филе белой рыбы,1
Груши «конференц»,1
Копченая свиная грудинка,1
Масло из виноградных косточек,1
Сыровяленая ветчина,1
Песто,1
Овечий сыр,1
Постный майонез,1
Ростки люцерны,1
Тайский острый перец птичий глаз,1
Клубничное желе,1
Яблоки «гренни-смит»,1
Изюм без косточек,1
Газированная вода,1
Лук фри,1
Сыр мини моцарелла ,1
Сухой мартини,1
Плавленый сыр Hochland в блочках,1
Игристое полусладкое вино,1
Красная икра,1
Помидоры черри на ветке,1
Морские гребешки,1
Виноградное масло,1
Белый хлебный мякиш,1
Куриный бульонный кубик ,1
Маринованный перец,1
Филе судака,1
Чоризо,1
Жареный лук,1
Соус тартар,1
Булочка 8 злаков,1
Уксус для суши,1
Мирин,1
Куриные желудки,1
Замороженные мидии,1
Творог 9%,1
Соус «Сырный Цезарь»,1
Соус терияки,1
Шоколадная стружка,1
Соус барбекю,1
Помидоры плам,1
Молотая гвоздика,1
Салат романо «Белая Дача»,1
Измельченный укроп,1
Уксус 9%-ный,1
Молодой шпинат «Белая Дача»,1
"Сладкая свекла (отварная, нарезанная соломкой) «Белая дача»",1
Ржаные сухарики,1
Полента,1
Пенне ригате,1
Цельнозерновая булочка ,1
Кислые яблоки,1
Вяленые яблоки,1
Ванильное мороженое ,1
Замороженная вишня,1
Листья сельдерея,1
Английская горчица,1
Кукурузный крахмал,1
Купаты,1
Красный базилик ,1
Кудрявая петрушка,1
Бакинские помидоры,1
Пекинская капуста,1
Красное вино,1
Паста паппарделле,1
Бараний фарш,1
Сыр моцарелла для пиццы,1
Капуста,1
Кунжутная паста,1
