id_recipe,name_recipe,portions,calories,protein,fat,carbo,text_recipe,vegeterian
0,Сырники из творога,2,938,42,61.0,56.0,"Положите весь творог в кастрюльку и разомните его вилкой так, чтобы в нем не осталось крупных комков. Разбейте в него яйца, всыпьте сахар и тщательно все перемешайте. Лучше не использовать слишком сухой или слишком влажный творог, иначе сырники будут разваливаться в процессе приготовления. Всыпьте в творог 5 столовых ложек (с горкой) муки и тщательно перемешайте. Можно добавить немного больше муки, сырники получатся тогда более плотными. Или муки можно добавить чуть меньше, и тогда сырники будут нежнее. В итоге у вас должна получиться однородная масса, из которой можно будет лепить сырники. Поставьте сковороду на средний огонь и налейте в нее подсолнечное масло. Насыпьте на тарелку немного муки. Слепите несколько небольших шариков из получившейся творожной массы и положите их на тарелку. Лучше лепить разом 4–5 шариков — столько, сколько поместится одновременно на сковороду. Затем по очереди обкатывайте творожные шарики в муке, плющите их в небольшие лепешки (они не должны быть слишком тонкие) и выкладывайте на сковороду. Обжаривайте сырники 1–2 минуты до появления золотистой корочки. Затем переверните их на другую сторону и также обжарьте до золотистого состояния. Повторяйте, пока творог не закончится.",False
1,Классическая шарлотка,12,217,5,5.0,38.0,"Разогреть духовку. Отделить белки от желтков. Белки взбить в крепкую пену с щепоткой соли, постепенно добавляя сахар. Продолжать взбивать, добавляя по одному желтки, затем разрыхлитель и муку. Тесто по консистенции должно напоминать сметану. Смазать противень растительным маслом. Вылить половину теста на противень, разложить равномерно нарезанные дольками яблоки, залить второй половиной теста. Поместить противень в разогретую духовку. 3 минуты подержать при температуре 200 градусов, затем убавить до 180 и выпекать 20–25 минут.",False
2,Свинина с карамелизованной морковью,4,551,39,32.0,28.0,"Свинину зачистить и обсушить. Зубчики чеснока разрезать пополам и нашпиговать ими мясо. Смешать паприку, розмарин, кориандр, хлопья чили, чеснок, соль, молотый черный перец и оливковое масло. Обмазать смесью свинину. Обернуть мясо пленкой и оставить мариноваться на час. Свинину избавить от пленки, завернуть в фольгу и отправить в духовку на 1,5 часа при 180 градусах. Помыть и по необходимости очистить морковь, если морковь крупная, нарезать ее на половинки или четвертинки вдоль. Натереть 30 грамм размягченного сливочного масла солью и черным молотым перцем. Выпекать морковь на пергаменте 10 минут при 180 градусах. Растопить на сковородке оставшееся сливочное масло и мед. Обжарить морковь на сильном огне до румяности. Готовую свинину нарезать. Подавать свинину и морковь, посыпать рубленым зеленым луком и кунжутом.",False
3,Брауни (brownie),6,676,10,46.0,55.0,"Шоколад разломать на кусочки и вместе со сливочным маслом растопить на водяной бане, не переставая все время помешивать лопаткой или деревянной ложкой. Получившийся густой шоколадный соус снять с водяной бани и оставить остывать. Тем временем смешать яйца со ста граммами коричневого сахара: яйца разбить в отдельную миску и взбить, постепенно добавляя сахар. Взбивать можно при помощи миксера или вручную — как больше нравится, — но не меньше двух с половиной-трех минут. Острым ножом на разделочной доске порубить грецкие орехи. Предварительно их можно поджарить на сухой сковороде до появления аромата, но это необязательная опция. В остывший растопленный со сливочным маслом шоколад аккуратно добавить оставшийся сахар, затем муку и измельченные орехи и все хорошо перемешать венчиком. Затем влить сахарно-яичную смесь и тщательно смешать с шоколадной массой. Цвет у теста должен получиться равномерным, без разводов. Разогреть духовку до 200 градусов. Дно небольшой глубокой огнеупорной формы выстелить листом бумаги для выпечки или калькой. Перелить тесто в форму. Поставить в духовку и выпекать двадцать пять — тридцать минут до появления сахарной корочки. Готовый пирог вытащить из духовки, дать остыть и нарезать на квадратики острым ножом или ножом для пиццы — так кусочки получатся особенно ровными. Подавать брауни можно просто так, а можно посыпать сверху сахарной пудрой или разложить квадратики по тарелкам и украсить каждую порцию шариком ванильного мороженого.",False
4,Лазанья классическая с мясом,6,965,50,73.0,24.0,"В сотейник положить сливочное масло и 2 ложки растительного масла, растопить. Постепенно добавлять муку и размешивать так, чтобы не оставалось комочков. Когда вся мука вмешана, влить все молоко. Убавить огонь и томить до нужной консистенции: не жидкой, но и не слишком густой. Консистенция нежирной сметаны. На сковороде раскалить оливковое масло. Добавить мясной фарш (лучше свинина+телятина). Фарш жарить до полуготовности. Влить в него соус болоньезе, посолить и поперчить по вкусу. Духовку разогреть до 180 градусов. Форму смазать сливочным маслом. На дно вылить немного соуса бешамель, чуть-чуть, только чтобы покрыть дно. Выложить пласты (не вареные). На пласты выложить получившийся фарш (не жалеем!), на фарш — натертый сыр. На сыр — соус бешамель. Соуса нужно выкладывать столько, сколько необходимо, на ваш взгляд, чтобы лазанья получилась сочной. Поверх соуса выложить сухие листы лазаньи. Повторить процедуру. Последний слой листов промазать соусом бешамель и сверху щедро засыпать сыром. Дать постоять минут 7–10. Поставить в духовку. Печь 30 минут.",False
5,Спагетти карбонара с красным луком,2,1158,46,61.0,102.0,"Вскипятите воду в большой кастрюле и сварите пасту до состояния аль денте. Обычно для этого нужно варить ее на минуту меньше, чем указано на пачке. Пока паста варится, растопите на сковороде масло и обжарьте на нем мелко нарезанные лук, чеснок и бекон. До мягкости и до отчетливого чесночного и жаренобеконного запаха. Снимите сковороду с огня и в глубокой миске взбейте четыре яичных желтка со сливками и тертым пармезаном. Посолите и поперчите смесь, еще раз взбейте. В готовые спагетти вывалите обжаренные с луком и чесноком кусочки бекона. Влейте смесь сливок, желтков и пармезана, перемешайте. И сразу подавайте, посыпав свеженатертым сыром и черным молотым перцем.",False
6,"Салат из красной фасоли с творожным сыром, красным луком и сезонным салатом",4,341,11,23.0,23.0,"Вскрыть две банки красной фасоли в собственном соку, слить сок и промыть фасоль холодной водой. Желающие использовать не баночную, а самостоятельно сваренную фасоль должны задуматься о приготовлении этого салата еще с вечера. Сначала замочить бобы на ночь, а потом варить их на медленном огне до готовности. Готовую фасоль смешать с мелко нарубленным красным луком, зеленью, например, рукколы (которую для удобства поедания нужно предварительно изорвать руками), давленым чесноком, оливковым маслом, лимонным соком и творожным сыром. Посолить, поперчить, дать продуктам две минуты притереться друг к другу и подавать к столу вместе с бокалом Nobile di Montepulciano, если вино осталось с вечера.",False
7,Брускетта с помидорами,4,132,2,8.0,13.0,"Поджарить хлеб на сухой сковородке или в духовке до золотистой корочки. В духовке это займет три-пять минут (в зависимости от размера ломтя хлеба) при температуре 200 градусов. Помидоры нарезать кубиками с ребром около полсантиметра. Мелко нарубить три зубчика чеснока. Разогреть сковороду, плеснуть в нее немного оливкового масла и высыпать в него помидоры и чеснок. Готовить их минуту-другую, просто чтобы прогреть, не потеряв вкуса свежего помидора. Тогда капнуть в сковороду бальзамического крема, перемешать и снять с огня. Поджаренный хлеб пропитать оставшимся оливковым маслом, разлив понемногу на каждый ломоть. Сверху выложить теплые помидоры, посолить по вкусу, посыпать свежемолотым черным перцем и мелко нарезанной зеленью — любой, какая окажется под рукой. И подавать как закуску — например, к вину.",False
8,Спагетти с чесноком и маслом,4,688,15,27.0,96.0,"Поставить спагетти вариться и где-то за 5 минут до готовности спагетти раскочегарить сковороду, влить в нее оливковое масло и на оливковом масле обжарить давленый чеснок и нарезанный крупной стружкой перец чили. Как только чеснок размягчится, добавить мелко нарубленную петрушку, перемешать и снять с огня. После того как спагетти сварятся до состояния аль денте, слить воду и вывалить спагетти в сковороду с обжаренным чесноком, перцем и петрушкой. На небольшом огне потомить эту смесь полминуты, постоянно помешивая, добавить сок половины лимона и цедру половины лимона, посолить, поперчить, перемешать. И подавать к столу.",False
9,Фриттата с брокколи и сладким перцем,4,377,15,29.0,14.0,"Смешать яйца с солью, молотым мускатным орехом и паприкой. Разобрать брокколи на соцветия, перец очистить от кожицы и нарезать тонкой соломкой. Лук нарезать тонкими полукольцами. Чеснок и петрушку мелко нарубить, смешать их с соком лимона и оливковым маслом. Нарезанный лук обжарить на сливочном масле до мягкости, добавить брокколи, обжаривать минуту, после чего отправить туда же перец, жарить еще минуту, добавить щепотку листьев тимьяна, через минуту петрушку с чесноком в лимонном соке и масле, а через тридцать секунд залить яйцами. Когда яйца начнут застывать, отправить сковороду в разогретую до 180 градусов духовку на семь-десять минут. Подавать, посолив, поперчив и посыпав листиками тимьяна.",False
