ingr_id,ingr_name
0,Куриное филе
1,Кабачки
2,Лук
3,Сыр
4,Чеснок
5,Майонез
6,Соль
7,Специи
8,Вода тёплая
9,Сёмга или другая красная рыба
10,Красная чечевица
11,Морковь
12,Картофель
13,Томат
14,"Соль, перец"
15,Вода 
16,Йогурт густой
17,Яйцо
18,Масло растительное
19,Крахмал
20,Уксус яблочный
21,Разрыхлитель
22,Мука
23,Сахар
24,Вода
25,Лимон
26,Орехи грецкие
27,Фасоль консервированная
28,Консервированная кукуруза
29,Салат Айсберг
30,Сухарики с сыром
31,Мясной фарш
32,Белокочанная капуста
33,Куриное яйцо
34,Репчатый лук
35,Перец чёрный молотый
36,Сметана
37,Филе куриное
38,Грибы (шампиньоны)
39,Сыр плавленый сливочный
40,Растительное масло
41,Зелень укропа
42,Соль и перец
43,Мясо
44,Свёкла
45,Луковица
46,Капуста свежая
47,Перец сладкий
48,Томаты
49,Томатная паста
50,Соль по вкусу
51,Перец горошком
52,Лист лавровый
53,Уксус 9%
54,"Зелень укропа, петрушки."
55,Свекла
56,Огурцы
57,Горчица
58,Сахар-песок
59,Лимонный сок
60,Лук зелёный
61,Укроп
62,Огурцы солёные
63,Консервы рыбные 1 банка
64,"Соль, зелень укропа"
65,Перец чёрный горошком
66,Фарш мясной (свино-говяжий)
67,Крупная луковица
68,Зубчики чеснока
69,Белый хлеб
70,Молоко
71,"Зелёный лук, соль и перец"
72,Панировочные сухари
73,Фарш из мяса индейки
74,Сливочное масло
75,Курица
76,Масло сливочное
77,Помидоры
78,Соус ткемали
79,Паприка
80,"Соль, красный"
81,Смесь трав
82,Лук порей
83,Филе куриной грудки
84,Шампиньоны
85,"Соль, перец, сухие травы"
86,Крылышки
87,Соевый соус
88,Печень куриная
89,Сливки 10%
90,Филе курицы
91,Вермишель
92,Лавровый лист
93,"Соль и перец, зелень"
94,Хлеб
95,Куриные голени
96,Оливковое масло
97,Скумбрия
98,Рис длинный
99,Сладкий перец
100,Приправа для рыбы
101,Перец чёрный
102,Средняя красная рыба (горбуша)
103,Луковицы
104,Яйца
105,Мука пшеничная
106,Ванилин
107,Черника
108,Творог
109,Сыр твёрдый
110,Печенье песочное
111,Банан
112,Какао-порошок
113,Желатин
114,Смесь для желе	
115,Апельсин
116,Печенье савоярди
117,Маскарпоне
118,Сливки 33%
119,Сахарная пудра
120,Мандарины
121,Сок
122,Какао
123,Сливки
124,Куриная грудка
125,Свежий огурец
126,Грибы вешенки или шампиньоны
127,Грецкие орехи
128,"Соль, перец, майонез"
129,Креветки свежие
130,Кальмары
131,Листовой салат
132,Багет
133,Сыр Пармезан
134,Масло оливковое
135, Заправка салатаАнчоусы
136,Перец красный молотый
137,Помидоры черри
138,Батон
139, Приготовление соусаМасло оливковое
140,Бальзамический уксус
141,Анчоусы
142,Свежие креветки
143,Томаты черри
144,Сыр Моцарелла
145,Руккола
146,Зелень
